postal_code,X,Y,LAT,LONG
018965,30095.0361812926,29199.570535034,1.28034497999595,103.852143277672
018980,30411.5427663757,29120.0497012455,1.27962579891802,103.854987203774
018985,30152.3828112826,29246.505008895,1.28076943504223,103.852658562152
018987,30152.3828112828,29246.504978627,1.2807694347685,103.852658562152
058359,29180.9425282068,29798.0805949327,1.28575774235161,103.843929820315
058416,29685.0927844938,30153.5098396577,1.28897209658292,103.848459830887
058469,29208.7627098121,29467.5644130502,1.28276866896098,103.844179783171
058603,29132.5675707345,29540.1287258752,1.28342491797089,103.84349514276
058727,29460.2085363076,29711.5172791034,1.28497488239924,103.846439133077
058959,29132.7512368591,29476.2998439558,1.28284767195446,103.843496790794
059108,29023.9934074151,29618.5249527302,1.28413390964831,103.842519563895
059214,29196.1670818717,29532.4859691821,1.28335579721245,103.844066608996
059521,29265.2279058493,29604.9223997742,1.28401088417043,103.844687150426
059523,29265.2279058493,29604.9223997742,1.28401088417043,103.844687150426
059608,29194.2540847657,30099.7028082181,1.28848550721338,103.84404944136
059765,29109.2680638364,30063.5818742216,1.28815884529188,103.843285805896
068803,29918.0100647552,29083.4584027808,1.27929491386806,103.850552623612
068882,29836.7482165426,29264.7818768416,1.28093474456199,103.849822465734
068979,29402.7366876675,29449.2265551165,1.28260281977796,103.845922714092
069047,29559.3111513603,29095.091902323,1.27940014288618,103.847329579148
069249,29513.1704251042,29438.188578153,1.28250299108282,103.846915003635
069250,29515.3335870967,29433.878689684,1.28246401386032,103.84693444028
069253,29523.4892347732,29417.4446576573,1.28231538984966,103.847007721153
069403,29539.8772897328,29448.9518428948,1.28260032897858,103.84715497571
069410,29478.8248294242,29431.7765176799,1.28244500428754,103.846606394817
069415,29463.931740448,29332.6599188186,1.28154862924485,103.846472570061
069469,29422.4182927404,29443.4655892383,1.28255071874281,103.846099560709
078878,29244.0022703918,28627.343073437,1.27517000041485,103.844496391516
079119,29364.6903466907,28438.9364977032,1.2734661123903,103.845580809645
079333,29218.2255711703,28705.9976678006,1.27588132600637,103.844264781517
079624,29414.1345509556,28526.9923883453,1.27426245685337,103.846025087372
079717,29224.321876039,28566.2991184313,1.27461794103823,103.844319553688
079718,29271.2908856673,28569.178360384,1.27464397804715,103.844741587315
079903,29402.8482251871,28706.5933114532,1.27588670516751,103.845923683565
088271,28921.2140193082,28663.9496875014,1.27550106882153,103.841596022941
088642,28472.0209475723,28674.3665654362,1.27559528527258,103.837559859708
088660,28391.0410153593,28638.5254892186,1.27527115223134,103.83683222505
088764,28783.5054082605,29166.4261242897,1.28004529331833,103.840358673254
088872,28494.5333052856,28844.4742078632,1.27713367885701,103.837762144083
088888,28419.2380030945,28841.397285711,1.27710585333464,103.837085587894
088937,29028.4077809649,28456.1104305927,1.27362144009046,103.842559191246
089110,28922.335175693,29082.0538169965,1.27928225600912,103.841606109032
089114,28924.37756843,29101.1021250468,1.27945452216926,103.841624461255
089116,28921.13998382,29111.2816111855,1.27954658196736,103.841595370628
089310,29046.4121462533,28492.1747634597,1.27394759269828,103.842720968088
089311,29040.077148063,28491.7004944216,1.27394330378328,103.842664045841
089312,29033.4319938474,28491.5759114009,1.27394217731496,103.842604336742
089313,29027.4971384042,28491.5227910895,1.273941697106,103.842551009934
089314,29020.9940621032,28491.2055220846,1.27393882804592,103.84249257745
089362,28524.9180628848,28822.2130138781,1.27693235593017,103.838035162006
089366,28531.2112307182,28799.3289350569,1.2767254002341,103.838091708063
089370,28493.5360660267,28801.4300779514,1.27674440284238,103.837753182855
089373,28471.408111705,28800.2579502817,1.2767338028666,103.837554355011
089375,28454.4717219523,28796.1086334661,1.27669627814587,103.837402175247
089381,28467.603426153,28765.6440289263,1.27642076674433,103.837520168002
089382,28480.9190688903,28767.70237289,1.27643938148724,103.837639813977
089388,28514.5810016214,28772.4962766878,1.27648273534615,103.837942278893
089393,28543.6743454268,28777.226647988,1.27652551468213,103.838203693366
089394,28539.9578607786,28713.8783308454,1.27595261475699,103.838170298314
089673,28976.3717595204,29013.9126554374,1.2786660096113,103.842091646041
089689,28980.5810674788,28913.6126692183,1.27775893156357,103.842129465167
089692,29009.3794800503,28943.7001346797,1.27803103115052,103.842388230572
089775,28797.1200381406,28705.2784702405,1.2758748352142,103.840480994349
089905,28380.9924987859,28743.7548284624,1.27622280963967,103.836741936728
089908,28353.4620725871,28793.2325999215,1.27667026959021,103.836494566296
089910,28349.6313565677,28789.5740784611,1.27663718324614,103.836460145861
089916,28337.6277098531,28778.5311375502,1.27653731488679,103.836352288558
089919,28348.0091439805,28732.28465496,1.27611907778643,103.836445569061
089938,28293.4835506081,28739.2984126825,1.27618250830405,103.835955636686
098012,26123.1077897256,27490.6492547523,1.2648901082993,103.816454088109
098013,26107.0641541533,27447.1810098514,1.26449699575305,103.816309933353
098014,26067.4053468781,27405.6570591535,1.26412146529428,103.815953588541
098015,26016.9254327471,27454.9893324151,1.26456760601817,103.815500007081
098016,26049.0344363046,27496.5426733252,1.26494340187238,103.815788514427
098017,26083.7703376358,27520.6683751065,1.26516158838224,103.816100626435
098018,26124.3120317266,27567.1951694936,1.26558236283955,103.816464904146
098019,26149.8587548078,27537.2425478995,1.26531148330252,103.816694451601
098020,26169.3999164349,27583.9956560005,1.26573430318047,103.816870032697
098021,26174.6485664188,27617.7687630355,1.26603973564328,103.81691719163
098022,26191.4822266355,27655.6901275069,1.26638268415261,103.817068445506
098182,27734.8700227287,24744.8913819362,1.2400584854693,103.830936322258
098183,27760.8096545052,24673.7905563936,1.2394154745302,103.831169396679
